Titel,Start tijd,Leeftijd,Afbeelding
Alles Is Zoals Het Zou Moeten Zijn,14:45,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,14:40,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Trolls Wereldtour,11:10,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Trolls Wereldtour,11:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Unhinged,11:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Unhinged,16:35,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Relic,10:20,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Relic,19:20,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Ava,12:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Scoob! (Nederlandse versie),12:20,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
The Secret Garden,19:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
Ava,18:15,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Peninsula,17:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Scoob! (Nederlandse versie),12:20,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Peninsula,16:20,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
De Piraten van Hiernaast,13:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
Engel,14:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
De Piraten van Hiernaast,13:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
Hope Gap,17:10,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
Engel,14:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,10:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Misbehaviour,22:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Big Trip,12:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
Hope Gap,17:10,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
De Elfkins - Een klein bakfestijn,10:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33031_127009_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,10:15,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Lassie,10:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33415_124720_ps_sd-high.jpg
Big Trip,12:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
De Elfkins - Een klein bakfestijn,10:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33031_127009_ps_sd-high.jpg
Pinocchio (Nederlandse versie),10:20,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33378_126325_ps_sd-high.jpg
Lassie,10:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33415_124720_ps_sd-high.jpg
Promare,16:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33591_127713_ps_sd-high.jpg
Summerland,18:15,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
Pinocchio (Nederlandse versie),10:20,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33378_126325_ps_sd-high.jpg
Ella Bella Bingo,14:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Promare,11:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33591_127713_ps_sd-high.jpg
Summerland,18:45,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
The Rental,22:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33314_127013_ps_sd-high.jpg
Ella Bella Bingo,14:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Trolls World Tour,20:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/19824_127512_ps_sd-high.jpg
Trolls World Tour,20:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/19824_127512_ps_sd-high.jpg
One Man and His Shoes,11:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Burden,16:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33532_126124_ps_sd-high.jpg
QT8: The First Eight,19:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/QT8_-The-First-Eight_ps_1_jpg_sd-high.jpg
One Man and His Shoes,22:10,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Gli anni più belli,21:30,14,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33394_126875_ps_sd-high.jpg
"André Rieu: Magical Maastricht, Verbonden door Muziek",11:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/AR2020_MM_Poster_1Sheet_NLPATHE.jpg
The Last Full Measure,17:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/LastFullMeasurePoster70x100cPathe.jpg
Gli anni più belli,21:30,14,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33394_126875_ps_sd-high.jpg
KILL BILL : VOLUME 1,22:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/Kill_Bill_Vol_1.png
The Last Full Measure,17:20,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/LastFullMeasurePoster70x100cPathe.jpg
The Breakfast Club,19:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/PosterTheBreakfastClub.jpg
Harry Potter and the Deathly Hallows: Part 2 (OV),13:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_2_poshighres.jpg
KILL BILL : VOLUME 1,21:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/Kill_Bill_Vol_1.png
The Personal History of David Copperfield,20:30,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33391_128338_ps_sd-high.jpg
The Breakfast Club,14:20,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/PosterTheBreakfastClub.jpg
"The Kingmaker, Imelda Marcos",15:50,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33214_121712_ps_sd-high.jpg
Harry Potter and the Deathly Hallows: Part 2 (OV),13:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_2_poshighres.jpg
Midnight in Paris,14:40,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/midnightinparis2.jpg
Tenet,10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
"The Kingmaker, Imelda Marcos",15:50,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33214_121712_ps_sd-high.jpg
Tenet,10:30,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:20,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,14:05,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Tenet,18:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Tenet,10:45,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32762_127740_ps_sd-high.jpg
Trolls Wereldtour,10:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,12:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,19:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Harry Potter and the Deathly Hallows: Part 1 (OV),10:15,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/HP7_highres.png
Alles Is Zoals Het Zou Moeten Zijn,15:30,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,19:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Trolls Wereldtour,11:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Unhinged,15:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Alles Is Zoals Het Zou Moeten Zijn,16:25,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32717_126137_ps_sd-high.jpg
Trolls Wereldtour,10:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Deux,19:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33227_123475_ps_sd-high.jpg
Trolls Wereldtour,10:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Unhinged,11:40,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Trolls Wereldtour,13:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Unhinged,17:15,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Trolls Wereldtour,10:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32725_127504_ps_sd-high.jpg
Unhinged,11:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Relic,16:55,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Unhinged,16:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Relic,21:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Unhinged,19:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33015_127746_ps_sd-high.jpg
Relic,23:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
