Titel,Start tijd,Leeftijd,Afbeelding
The Secret Garden,18:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
Relic,17:15,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Relic,22:50,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
The Secret Garden,16:10,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
Relic,22:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33577_127408_ps_sd-high.jpg
Ava,18:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
The Secret Garden,17:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
The Secret Garden,18:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
The Secret Garden,16:10,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
Ava,10:45,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Ava,20:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Scoob! (Nederlandse versie),14:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Ava,18:10,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Ava,19:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Scoob! (Nederlandse versie),13:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Peninsula,21:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
The Secret Garden,17:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33380_127205_ps_sd-high.jpg
Scoob! (Nederlandse versie),10:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Peninsula,21:40,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Scoob! (Nederlandse versie),10:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Engel,10:10,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
Ava,10:50,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/Ava_ps_1_jpg_sd-high.jpg
Peninsula,17:15,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Scoob! (Nederlandse versie),15:10,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
De Piraten van Hiernaast,12:00,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
Misbehaviour,12:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Peninsula,21:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Peninsula,21:50,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Engel,15:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
Scoob! (Nederlandse versie),10:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33233_126805_ps_sd-high.jpg
Hope Gap,17:10,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
Engel,12:50,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
De Piraten van Hiernaast,10:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
De Piraten van Hiernaast,11:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
Hope Gap,17:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
Engel,13:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
Misbehaviour,19:15,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Peninsula,21:40,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25297-Peninsula - Poster - 700x1000mm - 10 augustus - Blauw - MedRes.jpg
Nick Jr. Zomerbios 2020,10:05,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Misbehaviour,12:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Misbehaviour,13:10,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Promare,11:40,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33591_127713_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,10:15,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Hope Gap,11:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
De Piraten van Hiernaast,12:20,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DPVH_Poster_70x100cm_DEF_3000px.jpg
Nick Jr. Zomerbios 2020,10:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Summerland,16:30,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
Hope Gap,14:45,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,10:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Big Trip,13:45,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
Engel,12:50,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33149_125983_ps_sd-high.jpg
Big Trip,11:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
Big Trip,10:05,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
Ella Bella Bingo,14:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,10:45,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
Misbehaviour,18:45,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33028_123032_ps_sd-high.jpg
Summerland,14:00,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
De Elfkins - Een klein bakfestijn,10:25,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33031_127009_ps_sd-high.jpg
Big Trip,12:50,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33319_124718_ps_sd-high.jpg
Hope Gap,17:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32816_121592_ps_sd-high.jpg
I Still Believe,12:20,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33256_122391_ps_sd-high.jpg
De Elfkins - Een klein bakfestijn,10:30,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33031_127009_ps_sd-high.jpg
Pinocchio (Nederlandse versie),12:30,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33378_126325_ps_sd-high.jpg
Ella Bella Bingo,10:45,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Nick Jr. Zomerbios 2020,11:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/PathePartners/movie-25286-lowres.jpg
One Man and His Shoes,10:30,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Summerland,17:00,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
Promare,12:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33591_127713_ps_sd-high.jpg
One Man and His Shoes,13:30,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
De Elfkins - Een klein bakfestijn,10:15,6,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33031_127009_ps_sd-high.jpg
Ella Bella Bingo,10:35,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Summerland,16:00,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
Yellowstone,11:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33365_124544_ps_sd-high.jpg
Yellowstone,15:00,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33365_124544_ps_sd-high.jpg
Summerland,18:15,9,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33012_127371_ps_sd-high.jpg
Ella Bella Bingo,10:05,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
Ella Bella Bingo,10:30,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
KILL BILL : VOLUME 2,20:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/movie_KillBillVolume2.jpg
The Rental,23:15,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33314_127013_ps_sd-high.jpg
One Man and His Shoes,14:05,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33617_127782_ps_sd-high.jpg
Ella Bella Bingo,15:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33556_127649_ps_sd-high.jpg
KILL BILL : VOLUME 2,14:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/movie_KillBillVolume2.jpg
DJ Snake: The Concert In Cinema,20:45,nvt,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/DJSNAKE_POSTER_JPEGHD_EN.jpg
"André Rieu: Magical Maastricht, Verbonden door Muziek",14:20,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/AR2020_MM_Poster_1Sheet_NLPATHE.jpg
The Rental,22:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33314_127013_ps_sd-high.jpg
Fahim,11:00,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/32882_122452_ps_sd-high.jpg
KILL BILL : VOLUME 2,22:00,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/movie_KillBillVolume2.jpg
"André Rieu: Magical Maastricht, Verbonden door Muziek",14:45,al,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posterhr/AR2020_MM_Poster_1Sheet_NLPATHE.jpg
Gli anni più belli,17:45,14,https://media.pathe.nl/nocropthumb/180x254/gfx_content/other/api/filmdepot/v1/movie/download/33394_126875_ps_sd-high.jpg
KILL BILL : VOLUME 1,19:30,16,https://media.pathe.nl/nocropthumb/180x254/gfx_content/Kill_Bill_Vol_1.png
Midnight in Paris,16:45,12,https://media.pathe.nl/nocropthumb/180x254/gfx_content/posters/midnightinparis2.jpg
